<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.10.01	1.03144	1.03362	1.02874	1.03318	24068	0	1
2013.10.02	1.03327	1.03562	1.03231	1.03331	22350	0	1
2013.10.03	1.03328	1.03393	1.03126	1.03288	22196	0	1
2013.10.04	1.03282	1.03400	1.02896	1.02917	19682	0	1
2013.10.07	1.02992	1.03333	1.02956	1.03128	20301	0	1
2013.10.08	1.03128	1.03734	1.03071	1.03687	22030	0	1
2013.10.09	1.03687	1.04070	1.03527	1.03919	23461	0	1
2013.10.10	1.03919	1.04192	1.03716	1.03981	21098	0	1
2013.10.11	1.03981	1.04119	1.03399	1.03467	22083	0	1
2013.10.14	1.03610	1.03691	1.03405	1.03537	16959	0	1
2013.10.15	1.03537	1.03910	1.03314	1.03757	21455	0	1
2013.10.16	1.03757	1.03848	1.03241	1.03263	22779	0	1
2013.10.17	1.03264	1.03320	1.02804	1.02957	24661	0	1
2013.10.18	1.02940	1.03017	1.02770	1.02852	18054	0	1
2013.10.21	1.02887	1.03067	1.02887	1.03056	15342	0	1
2013.10.22	1.03056	1.03096	1.02707	1.02894	18650	0	1
2013.10.23	1.02891	1.03965	1.02816	1.03834	25593	0	1
2013.10.24	1.03834	1.04376	1.03658	1.04193	22335	0	1
2013.10.25	1.04195	1.04603	1.04099	1.04444	19535	0	1
2013.10.28	1.04467	1.04512	1.04286	1.04457	16979	0	1
2013.10.29	1.04455	1.04709	1.04273	1.04667	20293	0	1
2013.10.30	1.04668	1.04963	1.04405	1.04791	21150	0	1
2013.10.31	1.04790	1.04894	1.04121	1.04345	23064	0	1
2013.11.01	1.04346	1.04537	1.04114	1.04161	19558	0	1
2013.11.04	1.04195	1.04278	1.03977	1.04219	14840	0	1
2013.11.05	1.04220	1.04617	1.04161	1.04544	18935	0	1
2013.11.06	1.04544	1.04588	1.04115	1.04178	17119	0	1
2013.11.07	1.04193	1.04629	1.04044	1.04546	23523	0	1
2013.11.08	1.04544	1.05030	1.04451	1.04767	22536	0	1
2013.11.11	1.04845	1.04859	1.04651	1.04699	16360	0	1
2013.11.12	1.04700	1.05081	1.04635	1.04931	21514	0	1
2013.11.13	1.04929	1.04959	1.04450	1.04511	20299	0	1
2013.11.14	1.04510	1.05256	1.04399	1.04652	24136	0	1
2013.11.15	1.04653	1.04844	1.04365	1.04366	17826	0	1
2013.11.18	1.04366	1.04418	1.04146	1.04311	17231	0	1
2013.11.19	1.04311	1.04849	1.04151	1.04633	20660	0	1
2013.11.20	1.04635	1.04734	1.04358	1.04530	24284	0	1
2013.11.21	1.04530	1.05262	1.04523	1.05219	24551	0	1
2013.11.22	1.05219	1.05683	1.05111	1.05115	22846	0	1
2013.11.25	1.05230	1.05828	1.05230	1.05333	18895	0	1
2013.11.26	1.05340	1.05584	1.05200	1.05416	20297	0	1
2013.11.27	1.05412	1.06024	1.05312	1.05942	22838	0	1
2013.11.28	1.05943	1.05977	1.05707	1.05834	18231	0	1
2013.11.29	1.05863	1.06281	1.05588	1.06046	24748	0	1
2013.12.02	1.06185	1.06538	1.06136	1.06416	23220	0	1
2013.12.03	1.06416	1.06722	1.06308	1.06459	23945	0	1
2013.12.04	1.06460	1.07068	1.06370	1.06773	27807	0	1
