<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.07.05	87.719	87.997	87.627	87.762	17219	0	9
2010.07.06	87.757	87.971	87.345	87.574	36626	0	10
2010.07.07	87.567	87.804	87.015	87.760	37628	0	9
2010.07.08	87.756	88.642	87.659	88.439	39290	0	6
2010.07.09	88.438	88.695	88.367	88.610	29274	0	6
2010.07.12	88.678	89.145	88.384	88.625	29937	0	8
2010.07.13	88.646	88.859	88.025	88.676	94626	85094601000	6
2010.07.14	88.664	89.097	88.070	88.398	35667	0	16
2010.07.15	88.393	88.399	87.224	87.366	41035	0	10
2010.07.16	87.374	87.493	86.262	86.564	38072	0	10
2010.07.19	86.600	87.209	86.474	86.761	32369	0	10
2010.07.20	86.746	87.563	86.682	87.440	38108	0	10
2010.07.21	87.410	87.430	86.860	86.966	36789	0	10
2010.07.22	86.966	87.208	86.337	87.032	35953	0	10
2010.07.23	87.027	87.492	86.730	87.455	37738	0	10
2010.07.26	87.530	87.709	86.818	86.959	31440	0	10
2010.07.27	86.955	87.967	86.823	87.848	33591	0	10
2010.07.28	87.842	88.110	87.256	87.359	36066	0	10
2010.07.29	87.359	87.500	86.563	86.887	32395	0	10
2010.07.30	86.887	86.912	85.980	86.458	36749	0	10
2010.08.02	86.410	86.871	86.314	86.417	27276	0	10
2010.08.03	86.417	86.644	85.666	85.816	30499	0	10
2010.08.04	85.811	86.375	85.318	86.313	31316	0	10
2010.08.05	86.318	86.442	85.708	85.848	29059	0	10
2010.08.06	85.846	86.171	85.016	85.497	29005	0	10
2010.08.09	85.370	85.978	85.295	85.922	21714	0	9
2010.08.10	85.921	86.222	85.176	85.317	32226	0	10
2010.08.11	85.318	85.456	84.719	85.249	38919	0	10
2010.08.12	85.252	85.977	84.927	85.876	36510	0	10
2010.08.13	85.857	86.365	85.562	86.185	30159	0	10
2010.08.16	86.221	86.221	85.204	85.328	26952	0	10
2010.08.17	85.339	85.667	85.110	85.557	28715	0	10
2010.08.18	85.560	85.672	85.185	85.381	26226	0	10
2010.08.19	85.381	85.908	84.885	85.286	33473	0	10
2010.08.20	85.289	85.811	85.186	85.608	29054	0	10
2010.08.23	85.600	85.657	85.057	85.097	25633	0	10
2010.08.24	85.124	85.182	83.619	84.138	40404	0	10
2010.08.25	84.130	84.824	84.087	84.595	39691	0	10
2010.08.26	84.588	84.876	84.320	84.461	32218	0	10
2010.08.27	84.440	85.447	84.269	85.215	38684	0	10
2010.08.30	85.350	85.894	84.499	84.542	33131	0	9
2010.08.31	84.544	84.654	83.821	84.169	37972	0	10
2010.09.01	84.170	84.656	83.666	84.444	33985	0	10
2010.09.02	84.439	84.546	83.994	84.291	28872	0	10
2010.09.03	84.271	85.216	84.161	84.297	25373	0	10
2010.09.06	84.330	84.484	84.041	84.114	16910	0	10
2010.09.07	84.128	84.249	83.508	83.771	28668	0	10
2010.09.08	83.785	84.033	83.338	83.852	36018	0	10
2010.09.09	83.856	84.015	83.486	83.828	32648	0	10
2010.09.10	83.824	84.371	83.745	84.138	31413	0	10
2010.09.13	84.170	84.354	83.502	83.732	31958	0	10
2010.09.14	83.738	83.744	82.920	83.016	36918	0	10
2010.09.15	83.020	85.763	82.869	85.728	53616	0	10
2010.09.16	85.731	85.916	85.224	85.818	37513	0	9
2010.09.17	85.816	85.922	85.590	85.842	31669	0	10
2010.09.20	85.740	85.796	85.500	85.675	17006	0	10
2010.09.21	85.679	85.762	84.974	85.149	32948	0	10
2010.09.22	85.143	85.173	84.267	84.532	26057	0	10
2010.09.23	84.537	84.665	84.258	84.396	28939	0	10
2010.09.24	84.388	85.376	84.118	84.199	17761	0	10
2010.09.27	84.290	84.384	84.107	84.271	27418	0	10
2010.09.28	84.271	84.337	83.691	83.821	28014	0	10
2010.09.29	83.815	84.076	83.494	83.710	25685	0	10
2010.09.30	83.723	83.806	83.162	83.489	35312	0	10
2010.10.01	83.491	83.569	83.156	83.208	31320	0	10
2010.10.04	83.260	83.858	83.179	83.414	28624	0	10
2010.10.05	83.416	83.972	82.956	83.217	36814	0	10
2010.10.06	83.210	83.259	82.759	82.905	33428	0	9
2010.10.07	82.907	83.017	82.106	82.304	37683	0	10
2010.10.08	82.296	82.556	81.719	82.070	29460	0	10
2010.10.11	81.560	82.174	81.530	82.067	14555	0	10
2010.10.12	82.076	82.338	81.659	81.823	33968	0	10
2010.10.13	81.818	81.996	81.709	81.794	28485	0	10
2010.10.14	81.793	81.836	80.881	81.451	34656	0	10
2010.10.15	81.455	81.614	80.896	81.437	28422	0	10
2010.10.18	81.435	81.468	81.122	81.263	29117	0	11
2010.10.19	81.271	81.913	81.135	81.610	36885	0	9
2010.10.20	81.610	81.653	80.839	81.137	32937	0	10
2010.10.21	81.132	81.812	80.912	81.284	38478	0	10
2010.10.22	81.285	81.496	80.985	81.358	31705	0	10
2010.10.25	81.375	81.390	80.405	80.788	37487	0	10
2010.10.26	80.793	81.645	80.611	81.401	43653	0	10
2010.10.27	81.400	81.975	81.307	81.703	49290	0	9
2010.10.28	81.705	81.756	80.860	81.009	40949	0	10
2010.10.29	81.011	81.063	80.376	80.389	43845	0	9
2010.11.01	80.357	81.410	80.295	80.551	42612	0	9
2010.11.02	80.551	80.953	80.484	80.663	43164	0	10
2010.11.03	80.660	81.547	80.593	81.073	52656	0	10
2010.11.04	81.073	81.212	80.582	80.752	57888	0	10
2010.11.05	80.741	81.458	80.616	81.252	47607	0	10
2010.11.08	81.274	81.425	81.000	81.135	43539	0	10
2010.11.09	81.146	81.955	80.530	81.636	54883	0	10
2010.11.10	81.639	82.786	81.546	82.230	58976	0	10
2010.11.11	82.222	82.597	82.034	82.492	48398	0	10
2010.11.12	82.489	82.648	81.646	82.518	58022	0	11
2010.11.15	82.493	83.252	82.391	83.130	53079	0	9
2010.11.16	83.138	83.585	82.846	83.373	60294	0	9
2010.11.17	83.373	83.546	83.031	83.164	52561	0	9
2010.11.18	83.164	83.775	83.099	83.458	63066	0	10
2010.11.19	83.456	83.635	83.136	83.536	54192	0	10
2010.11.22	83.426	83.556	83.225	83.270	58136	0	10
2010.11.23	83.270	83.836	82.782	83.128	60931	0	10
2010.11.24	83.125	83.653	82.940	83.549	66914	0	10
2010.11.25	83.552	83.688	83.397	83.651	46245	0	10
2010.11.26	83.653	84.178	83.630	84.095	51627	0	10
2010.11.29	84.043	84.398	83.817	84.253	54941	0	9
2010.11.30	84.250	84.283	83.416	83.659	71275	0	10
2010.12.01	83.659	84.380	83.377	84.157	75049	0	10
2010.12.02	84.156	84.355	83.487	83.825	70055	0	10
2010.12.03	83.829	83.853	82.518	82.525	68264	0	10
2010.12.06	82.690	82.980	82.568	82.619	61280	0	10
2010.12.07	82.621	83.653	82.336	83.472	72885	0	10
2010.12.08	83.474	84.296	83.461	84.039	71487	0	10
2010.12.09	84.039	84.105	83.512	83.749	63212	0	10
2010.12.10	83.754	84.010	83.448	83.937	53842	0	10
2010.12.13	83.988	84.342	83.102	83.458	60857	0	10
2010.12.14	83.458	83.765	82.838	83.634	60486	0	8
2010.12.15	83.629	84.494	83.623	84.289	65225	0	6
2010.12.16	84.289	84.437	83.889	84.004	60273	0	4
2010.12.17	84.004	84.197	83.687	83.976	59256	0	10
2010.12.20	83.984	84.109	83.629	83.776	55557	0	10
2010.12.21	83.775	83.901	83.497	83.740	54064	0	9
2010.12.22	83.741	83.846	83.411	83.555	52171	0	10
2010.12.23	83.563	83.570	82.856	83.004	48308	0	10
2010.12.24	83.004	83.153	82.856	82.875	30359	0	10
2010.12.27	82.899	82.967	82.645	82.781	43044	0	10
2010.12.28	82.780	82.794	81.814	82.419	51852	0	9
2010.12.29	82.399	82.420	81.598	81.657	44365	0	10
2010.12.30	81.659	81.847	81.286	81.491	49716	0	10
2010.12.31	81.494	81.537	80.934	81.126	31125	0	10
2011.01.03	81.106	81.746	81.071	81.732	38284	0	10
2011.01.04	81.733	82.275	81.608	82.089	56394	0	9
2011.01.05	82.085	83.369	81.879	83.218	60065	0	9
2011.01.06	83.217	83.386	82.878	83.274	54985	0	9
2011.01.07	83.267	83.674	82.850	83.133	59916	0	9
2011.01.10	83.138	83.274	82.665	82.689	47813	0	9
2011.01.11	82.684	83.488	82.681	83.326	50130	0	9
2011.01.12	83.326	83.459	82.808	83.023	52824	0	9
2011.01.13	83.023	83.146	82.547	82.759	54080	0	9
2011.01.14	82.756	83.059	82.408	82.847	58408	0	9
2011.01.17	82.880	82.999	82.367	82.680	50504	0	8
2011.01.18	82.681	82.813	82.328	82.602	64018	0	9
2011.01.19	82.597	82.679	81.846	82.099	68572	0	10
2011.01.20	82.099	83.113	82.036	82.976	67405	0	9
2011.01.21	82.975	83.078	82.526	82.552	63860	0	10
2011.01.24	82.661	82.913	82.301	82.529	59613	0	10
2011.01.25	82.528	82.658	81.975	82.193	69347	0	10
2011.01.26	82.194	82.598	81.976	82.238	67335	0	9
2011.01.27	82.223	83.196	82.017	82.832	72542	0	7
2011.01.28	82.832	82.918	81.987	82.111	70789	0	4
2011.01.31	82.134	82.249	81.901	82.055	70793	0	9
2011.02.01	82.054	82.142	81.307	81.358	72492	0	10
2011.02.02	81.360	81.851	81.355	81.539	67605	0	9
2011.02.03	81.540	82.051	81.399	81.620	62337	0	10
2011.02.04	81.619	82.448	81.129	82.162	47922	0	9
2011.02.07	82.247	82.459	82.153	82.332	44345	0	9
2011.02.08	82.327	82.415	81.775	82.278	42347	0	9
2011.02.09	82.287	82.657	82.204	82.355	45750	0	10
2011.02.10	82.352	83.358	82.332	83.340	61329	0	10
2011.02.11	83.340	83.666	83.235	83.418	39344	0	9
2011.02.14	83.451	83.491	83.093	83.270	58436	0	10
2011.02.15	83.271	83.909	83.192	83.740	58331	0	9
2011.02.16	83.699	83.964	83.491	83.661	57350	0	9
2011.02.17	83.662	83.728	83.157	83.317	46613	0	9
2011.02.18	83.316	83.512	83.027	83.162	49069	0	10
2011.02.21	83.111	83.527	83.016	83.131	44595	0	10
2011.02.22	83.129	83.419	82.577	82.769	67790	0	9
2011.02.23	82.771	82.881	82.314	82.410	57615	0	10
2011.02.24	82.411	82.473	81.621	81.907	61333	0	9
2011.02.25	81.917	82.055	81.639	81.662	54277	0	10
2011.02.28	81.670	81.972	81.616	81.764	57956	0	9
