<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.04.15	0.86807	0.86911	0.86254	0.86470	52417	0	1
2014.04.16	0.86472	0.86482	0.85782	0.86271	58001	0	1
2014.04.17	0.86276	0.86478	0.85618	0.85709	43277	0	1
2014.04.18	0.85710	0.85919	0.85655	0.85754	22153	0	1
2014.04.21	0.85698	0.86014	0.85549	0.85698	26368	0	1
2014.04.22	0.85703	0.86200	0.85664	0.86065	43393	0	1
2014.04.23	0.86066	0.86234	0.85651	0.86193	48432	0	1
2014.04.24	0.86193	0.86364	0.85459	0.85656	46749	0	1
2014.04.25	0.85652	0.85929	0.85518	0.85755	37949	0	2
2014.04.28	0.85778	0.85868	0.85246	0.85372	45607	0	1
2014.04.29	0.85371	0.85565	0.85161	0.85485	46220	0	1
2014.04.30	0.85487	0.86323	0.85455	0.86155	48510	0	1
2014.05.01	0.86164	0.86387	0.85995	0.86286	35130	0	2
2014.05.02	0.86285	0.86692	0.85919	0.86552	54053	0	1
2014.05.05	0.86627	0.86862	0.86476	0.86808	32859	0	1
2014.05.06	0.86808	0.87790	0.86782	0.87069	54729	0	1
2014.05.07	0.87073	0.87271	0.86482	0.86544	76625	0	1
2014.05.08	0.86552	0.86712	0.86247	0.86421	77923	0	1
2014.05.09	0.86421	0.86512	0.86036	0.86085	47463	0	1
2014.05.12	0.86203	0.86373	0.86078	0.86183	44371	0	1
2014.05.13	0.86184	0.86684	0.86091	0.86413	47674	0	1
2014.05.14	0.86409	0.86776	0.86230	0.86649	46466	0	1
2014.05.15	0.86649	0.86949	0.86262	0.86447	44640	0	1
2014.05.16	0.86449	0.86543	0.86203	0.86206	43398	0	2
2014.05.19	0.86324	0.86531	0.86198	0.86253	36488	0	12
2014.05.20	0.86252	0.86342	0.85597	0.85721	45183	0	12
2014.05.21	0.85722	0.85937	0.85368	0.85717	45523	0	4
2014.05.22	0.85718	0.85873	0.85509	0.85636	40907	0	1
2014.05.23	0.85646	0.85739	0.85302	0.85458	44676	0	1
2014.05.26	0.85419	0.85574	0.85262	0.85508	33203	0	7
2014.05.27	0.85502	0.85782	0.85290	0.85629	30255	0	11
2014.05.28	0.85630	0.85702	0.84693	0.84959	34646	0	12
2014.05.29	0.84959	0.85074	0.84506	0.84896	35271	0	10
2014.05.30	0.84895	0.85156	0.84713	0.84945	31981	0	11
2014.06.02	0.84918	0.84964	0.84404	0.84497	41246	0	1
2014.06.03	0.84498	0.84767	0.84179	0.84325	46809	0	1
2014.06.04	0.84327	0.84420	0.84014	0.84194	47806	0	1
2014.06.05	0.84197	0.85134	0.84177	0.84957	53289	0	1
2014.06.06	0.84954	0.85536	0.84807	0.84975	46918	0	1
2014.06.09	0.85007	0.85304	0.84800	0.84933	40587	0	5
2014.06.10	0.84933	0.85309	0.84922	0.85251	45296	0	1
2014.06.11	0.85254	0.86270	0.85172	0.86124	52459	0	1
2014.06.12	0.86120	0.86993	0.86050	0.86862	47231	0	2
2014.06.13	0.86860	0.86861	0.86440	0.86499	32492	0	6
2014.06.16	0.86734	0.86992	0.86594	0.86762	43280	0	1
2014.06.17	0.86762	0.86777	0.86416	0.86543	42918	0	1
2014.06.18	0.86543	0.87358	0.86517	0.87280	47801	0	1
2014.06.19	0.87274	0.87354	0.87030	0.87111	49023	0	3
2014.06.20	0.87109	0.87224	0.86808	0.86953	41069	0	4
2014.06.23	0.87023	0.87480	0.86990	0.87206	40600	0	1
2014.06.24	0.87200	0.87228	0.86681	0.86702	43953	0	1
2014.06.25	0.86705	0.87407	0.86617	0.87304	41486	0	1
2014.06.26	0.87309	0.87876	0.87270	0.87761	40662	0	2
2014.06.27	0.87762	0.87934	0.87535	0.87763	35533	0	2
2014.06.30	0.87754	0.87813	0.87276	0.87588	42886	0	1
2014.07.01	0.87587	0.87893	0.87478	0.87687	46550	0	33
2014.07.02	0.87684	0.87737	0.87457	0.87708	47185	0	32
2014.07.03	0.87709	0.87745	0.87174	0.87467	54912	0	3
2014.07.04	0.87466	0.87569	0.87304	0.87322	38053	0	3
2014.07.07	0.87450	0.87676	0.87134	0.87491	49736	0	3
2014.07.08	0.87488	0.88056	0.87387	0.87855	48676	0	3
2014.07.09	0.87854	0.88282	0.87809	0.88188	53021	0	1
2014.07.10	0.88189	0.88346	0.87932	0.88159	49834	0	3
2014.07.11	0.88160	0.88328	0.87987	0.88129	58842	0	3
2014.07.14	0.88110	0.88224	0.87943	0.88038	63670	0	8
2014.07.15	0.88038	0.88176	0.87500	0.87622	67503	0	1
2014.07.16	0.87615	0.87697	0.86893	0.87115	38500	0	1
2014.07.17	0.87113	0.87190	0.86616	0.86637	39945	0	4
2014.07.18	0.86638	0.86936	0.86484	0.86811	34846	0	2
2014.07.21	0.86939	0.87186	0.86814	0.86842	32466	0	12
2014.07.22	0.86845	0.86962	0.86521	0.86681	45869	0	1
2014.07.23	0.86678	0.87073	0.86082	0.86189	57848	0	2
2014.07.24	0.86189	0.86233	0.85592	0.85643	61694	0	10
2014.07.25	0.85644	0.85857	0.85380	0.85653	60505	0	9
2014.07.28	0.85529	0.85600	0.85289	0.85481	64704	0	12
2014.07.29	0.85480	0.85564	0.84931	0.85056	78381	0	11
2014.07.30	0.85056	0.85139	0.84624	0.84847	64589	0	2
2014.07.31	0.84848	0.85181	0.84714	0.84977	44496	0	2
2014.08.01	0.84977	0.85349	0.84589	0.84986	46689	0	1
2014.08.04	0.85085	0.85268	0.84951	0.85245	42138	0	16
2014.08.05	0.85246	0.85300	0.84510	0.84635	57284	0	16
2014.08.06	0.84638	0.84860	0.84224	0.84726	53649	0	16
2014.08.07	0.84725	0.84936	0.84513	0.84661	49080	0	16
2014.08.08	0.84662	0.84887	0.84307	0.84595	53108	0	16
2014.08.11	0.84613	0.84741	0.84545	0.84572	32898	0	16
2014.08.12	0.84571	0.84572	0.84077	0.84308	40675	0	16
2014.08.13	0.84307	0.84784	0.84182	0.84573	42563	0	16
2014.08.14	0.84573	0.85140	0.84543	0.84877	40861	0	16
2014.08.15	0.84877	0.85013	0.84664	0.84802	36948	0	16
2014.08.18	0.84885	0.84998	0.84669	0.84780	26124	0	16
2014.08.19	0.84780	0.84828	0.84133	0.84216	43718	0	16
2014.08.20	0.84213	0.84340	0.83657	0.83668	50749	0	16
2014.08.21	0.83668	0.84124	0.83470	0.84048	41514	0	16
2014.08.22	0.84046	0.84295	0.83796	0.83961	42289	0	5
2014.08.25	0.83490	0.83694	0.83369	0.83408	44740	0	12
2014.08.26	0.83407	0.83492	0.83102	0.83332	50671	0	16
2014.08.27	0.83330	0.83804	0.83307	0.83738	51789	0	16
2014.08.28	0.83743	0.84069	0.83623	0.83820	53647	0	3
2014.08.29	0.83818	0.83975	0.83451	0.83548	41120	0	3
2014.09.01	0.83534	0.83883	0.83492	0.83781	41456	0	16
2014.09.02	0.83781	0.83899	0.82911	0.83188	53598	0	16
2014.09.03	0.83189	0.83325	0.82865	0.83254	54111	0	1
2014.09.04	0.83252	0.83512	0.82958	0.83028	62914	0	1
2014.09.05	0.83028	0.83478	0.82699	0.83245	57871	0	1
2014.09.08	0.83074	0.83290	0.82619	0.82788	58592	0	1
2014.09.09	0.82789	0.82853	0.82235	0.82467	73062	0	1
2014.09.10	0.82467	0.82668	0.81752	0.81988	65449	0	1
2014.09.11	0.81990	0.82209	0.81603	0.81856	59011	0	1
2014.09.12	0.81856	0.81959	0.81407	0.81441	59882	0	1
2014.09.15	0.81512	0.81820	0.81233	0.81778	52591	0	1
2014.09.16	0.81778	0.82302	0.81454	0.81937	67107	0	1
2014.09.17	0.81938	0.81986	0.80775	0.80938	69627	0	1
2014.09.18	0.80937	0.81788	0.80775	0.81632	66694	0	1
2014.09.19	0.81633	0.81733	0.81105	0.81153	64043	0	1
2014.09.22	0.81503	0.81700	0.80987	0.81115	120813	0	1
2014.09.23	0.81124	0.81464	0.80418	0.80667	120466	0	1
2014.09.24	0.80667	0.80936	0.80444	0.80754	56105	0	1
2014.09.25	0.80754	0.80766	0.79126	0.79327	82028	0	1
2014.09.26	0.79327	0.79564	0.78591	0.78631	66985	0	1
2014.09.29	0.78648	0.78685	0.77082	0.77680	75325	0	1
2014.09.30	0.77680	0.78304	0.77386	0.78138	72522	0	1
2014.10.01	0.78136	0.78605	0.77604	0.77828	78950	0	1
2014.10.02	0.77827	0.79292	0.77661	0.78980	83867	0	1
