<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.22	1.30467	1.31519	1.30339	1.31399	77812	0	17
2020.01.23	1.31379	1.31501	1.30961	1.31184	74873	0	17
2020.01.24	1.31164	1.31740	1.30556	1.30741	73942	0	17
2020.01.27	1.30774	1.31041	1.30393	1.30570	67608	0	17
2020.01.28	1.30564	1.30642	1.29743	1.30265	63297	0	17
2020.01.29	1.30260	1.30275	1.29884	1.30177	60724	0	17
2020.01.30	1.30177	1.31091	1.29770	1.30902	76746	0	17
2020.01.31	1.30902	1.32049	1.30792	1.32042	77400	0	17
2020.02.03	1.31737	1.31829	1.29821	1.29896	84413	0	17
2020.02.04	1.29903	1.30457	1.29401	1.30287	77629	0	17
2020.02.05	1.30287	1.30691	1.29556	1.29991	77349	0	17
2020.02.06	1.29992	1.30014	1.29200	1.29251	62662	0	17
2020.02.07	1.29228	1.29583	1.28815	1.28830	72942	0	17
2020.02.10	1.28872	1.29450	1.28709	1.29126	75006	0	17
2020.02.11	1.29152	1.29671	1.28933	1.29489	70334	0	17
2020.02.12	1.29489	1.29904	1.29413	1.29572	69480	0	17
2020.02.13	1.29567	1.30684	1.29432	1.30380	82988	0	17
2020.02.14	1.30380	1.30624	1.30001	1.30475	65550	0	17
2020.02.17	1.30338	1.30528	1.29968	1.30034	57151	0	17
2020.02.18	1.30033	1.30477	1.29698	1.29956	73314	0	17
2020.02.19	1.29955	1.30223	1.29068	1.29184	69277	0	17
2020.02.20	1.29211	1.29275	1.28481	1.28799	72521	0	17
2020.02.21	1.28795	1.29798	1.28696	1.29612	78331	0	17
2020.02.24	1.29452	1.29538	1.28858	1.29281	80166	0	17
2020.02.25	1.29289	1.30171	1.29090	1.30034	97747	0	17
2020.02.26	1.30031	1.30073	1.28940	1.28970	88513	0	17
2020.02.27	1.28929	1.29458	1.28592	1.28831	107418	0	17
2020.02.28	1.28831	1.29187	1.27248	1.28192	123831	0	17
2020.03.02	1.27765	1.28500	1.27386	1.27518	135719	0	17
2020.03.03	1.27514	1.28431	1.27385	1.28108	135345	0	17
2020.03.04	1.28103	1.28715	1.27689	1.28703	87025	0	17
2020.03.05	1.28700	1.29675	1.28597	1.29504	84309	0	17
2020.03.06	1.29513	1.30483	1.29469	1.30318	130432	0	17
2020.03.09	1.30792	1.31990	1.30335	1.30971	184893	0	17
2020.03.10	1.30993	1.31154	1.28672	1.28808	155435	0	17
2020.03.11	1.28798	1.29755	1.28018	1.28107	117734	0	17
2020.03.12	1.28098	1.28479	1.24895	1.25727	151402	0	17
2020.03.13	1.25730	1.26237	1.22526	1.22723	181408	0	17
2020.03.16	1.24075	1.24199	1.22005	1.22680	230277	0	17
2020.03.17	1.22680	1.22727	1.20002	1.20545	231747	0	17
2020.03.18	1.20548	1.21290	1.14432	1.15816	197373	0	17
2020.03.19	1.15816	1.17909	1.14341	1.14607	201239	0	17
2020.03.20	1.14606	1.19322	1.14089	1.16557	187239	0	17
2020.03.23	1.16760	1.17129	1.14451	1.15334	204614	0	17
2020.03.24	1.15336	1.17984	1.14944	1.17401	152723	0	17
2020.03.25	1.17405	1.19722	1.16381	1.18840	143932	0	17
2020.03.26	1.18841	1.22286	1.17760	1.21505	150078	0	17
2020.03.27	1.21491	1.24844	1.21295	1.24498	168485	0	17
2020.03.30	1.24276	1.24658	1.23162	1.24025	103846	0	17
