<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.09.17	0.92728	0.92789	0.92522	0.92576	26062	0	1
2013.09.18	0.92578	0.92681	0.91089	0.91316	34608	0	1
2013.09.19	0.91319	0.91377	0.90897	0.91061	38438	0	1
2013.09.20	0.91058	0.91267	0.90889	0.91006	29915	0	1
2013.09.23	0.90978	0.91295	0.90843	0.91085	28988	0	1
2013.09.24	0.91086	0.91332	0.90988	0.91292	29801	0	1
2013.09.25	0.91292	0.91373	0.90782	0.90946	27506	0	1
2013.09.26	0.90950	0.91170	0.90873	0.91022	29743	0	1
2013.09.27	0.91021	0.91105	0.90208	0.90555	28921	0	1
2013.09.30	0.90672	0.90683	0.90248	0.90493	30734	0	1
2013.10.01	0.90495	0.90748	0.89923	0.90579	35943	0	1
2013.10.02	0.90579	0.90771	0.89945	0.90240	34969	0	1
2013.10.03	0.90242	0.90331	0.89673	0.89912	35844	0	1
2013.10.04	0.89909	0.90816	0.89780	0.90692	32762	0	1
2013.10.07	0.90653	0.90677	0.90159	0.90326	30926	0	1
2013.10.08	0.90325	0.90657	0.90226	0.90395	30993	0	1
2013.10.09	0.90396	0.91276	0.90154	0.90995	36104	0	1
2013.10.10	0.90995	0.91306	0.90821	0.91110	31380	0	1
2013.10.11	0.91112	0.91315	0.90696	0.91132	30006	0	1
2013.10.14	0.90969	0.91217	0.90638	0.91034	24706	0	1
2013.10.15	0.91044	0.91778	0.90925	0.91237	35589	0	1
2013.10.16	0.91244	0.91752	0.90978	0.91325	35262	0	1
2013.10.17	0.91325	0.91462	0.90077	0.90241	38323	0	1
2013.10.18	0.90240	0.90368	0.90042	0.90150	28858	0	1
2013.10.21	0.90175	0.90446	0.90054	0.90208	28891	0	1
2013.10.22	0.90209	0.90392	0.89398	0.89491	30815	0	1
2013.10.23	0.89496	0.89655	0.89107	0.89228	34773	0	1
2013.10.24	0.89230	0.89280	0.88899	0.89239	33955	0	1
2013.10.25	0.89239	0.89650	0.88925	0.89230	33104	0	1
2013.10.28	0.89240	0.89629	0.89215	0.89584	28740	0	1
2013.10.29	0.89585	0.90022	0.89435	0.89872	36940	0	1
2013.10.30	0.89872	0.90237	0.89499	0.90039	34321	0	1
2013.10.31	0.90040	0.90755	0.89894	0.90698	42346	0	1
2013.11.01	0.90699	0.91377	0.90678	0.91193	37026	0	1
2013.11.04	0.91197	0.91515	0.90914	0.90987	26131	0	1
2013.11.05	0.90987	0.91472	0.90942	0.91353	34011	0	1
2013.11.06	0.91353	0.91389	0.90980	0.91190	30257	0	1
2013.11.07	0.91190	0.92497	0.91087	0.91620	43372	0	1
2013.11.08	0.91620	0.92467	0.91541	0.92109	37985	0	1
