<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.08.19	1.03748	1.04796	1.03146	1.04034	82321	0	15
2011.08.22	1.03826	1.04719	1.03618	1.03957	70063	0	15
2011.08.23	1.03955	1.05329	1.03853	1.05260	69254	0	15
2011.08.24	1.05260	1.05260	1.04475	1.04654	70050	0	13
2011.08.25	1.04655	1.05125	1.04164	1.04384	67440	0	15
2011.08.26	1.04376	1.05910	1.04352	1.05663	69686	0	15
2011.08.29	1.05679	1.06783	1.05597	1.06767	57771	20435500000	12
2011.08.30	1.06766	1.07198	1.06206	1.06732	72430	80090610000	12
2011.08.31	1.06732	1.07201	1.06511	1.06863	69780	79026743000	12
2011.09.01	1.06860	1.07641	1.06588	1.07207	66921	0	15
2011.09.02	1.07211	1.07320	1.06253	1.06415	67303	0	15
2011.09.05	1.06073	1.06091	1.05079	1.05110	62087	0	15
2011.09.06	1.05108	1.06239	1.04812	1.04885	82554	0	15
2011.09.07	1.04885	1.06599	1.04885	1.06462	67283	0	15
2011.09.08	1.06462	1.06591	1.05651	1.06043	74735	0	15
2011.09.09	1.06045	1.06337	1.04212	1.04681	81209	0	15
2011.09.12	1.04187	1.04395	1.02550	1.03505	92731	0	15
2011.09.13	1.03505	1.03746	1.02618	1.03138	91512	0	15
2011.09.14	1.03131	1.03685	1.01772	1.02549	95812	0	15
2011.09.15	1.02551	1.03455	1.01821	1.03311	87832	0	15
2011.09.16	1.03313	1.03975	1.02936	1.03581	72053	0	15
2011.09.19	1.02895	1.03133	1.01668	1.02106	82134	0	15
2011.09.20	1.02108	1.03107	1.01476	1.02649	89482	0	15
2011.09.21	1.02647	1.02913	1.00332	1.00517	89032	0	11
2011.09.22	1.00519	1.00768	0.96914	0.97453	112907	0	15
2011.09.23	0.97451	0.98653	0.96696	0.97795	111037	0	15
2011.09.26	0.97823	0.98458	0.96216	0.98353	111303	0	15
2011.09.27	0.98350	0.99840	0.97753	0.99048	94731	0	15
2011.09.28	0.99049	0.99543	0.97503	0.97503	94685	0	12
2011.09.29	0.97501	0.98762	0.97006	0.97686	102882	0	14
2011.09.30	0.97686	0.98078	0.96583	0.96583	93228	0	15
2011.10.03	0.96705	0.96991	0.95080	0.95290	99849	0	15
2011.10.04	0.95290	0.95946	0.93898	0.95477	115506	0	15
2011.10.05	0.95476	0.96661	0.94873	0.96547	97893	0	12
2011.10.06	0.96549	0.97656	0.96209	0.97317	95434	0	15
