<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.06	1468.42	1474.72	1456.30	1474.27	80622	0	26
2019.08.07	1474.23	1510.31	1472.10	1500.93	100518	0	26
2019.08.08	1499.74	1509.40	1489.96	1500.86	83094	0	26
2019.08.09	1504.10	1508.74	1494.71	1498.37	72255	0	26
2019.08.12	1495.95	1519.78	1487.33	1510.74	64936	0	26
2019.08.13	1510.53	1534.93	1479.45	1500.97	92250	0	26
2019.08.14	1501.62	1523.96	1493.69	1516.18	95818	0	26
2019.08.15	1515.66	1526.93	1507.77	1522.96	100386	0	26
2019.08.16	1522.75	1527.87	1503.67	1513.94	72764	0	26
2019.08.19	1509.35	1512.80	1493.17	1495.73	67620	0	26
2019.08.20	1495.58	1508.53	1492.84	1507.15	54463	0	26
2019.08.21	1506.92	1507.94	1496.41	1502.35	53099	0	26
2019.08.22	1502.20	1504.53	1492.41	1497.98	53543	0	26
2019.08.23	1498.21	1530.13	1493.45	1528.36	68459	0	26
2019.08.26	1546.07	1555.15	1524.92	1527.22	98092	0	26
2019.08.27	1527.20	1544.59	1525.55	1542.44	67417	0	26
2019.08.28	1541.78	1546.81	1531.78	1539.07	73722	0	26
2019.08.29	1539.49	1550.28	1519.54	1527.31	87854	0	26
2019.08.30	1527.42	1533.04	1516.91	1524.11	75536	0	26
2019.09.02	1529.48	1533.61	1519.21	1528.94	44758	0	26
2019.09.03	1528.70	1549.66	1521.47	1547.48	79579	0	26
2019.09.04	1546.06	1556.95	1533.74	1552.37	81027	0	26
2019.09.05	1551.93	1552.95	1506.15	1518.90	95153	0	26
2019.09.06	1516.95	1527.81	1502.46	1505.30	104955	0	26
2019.09.09	1504.46	1515.41	1497.47	1498.82	81555	0	26
2019.09.10	1498.60	1500.89	1484.40	1485.17	86609	0	26
2019.09.11	1484.86	1498.16	1484.86	1496.62	66060	0	26
2019.09.12	1496.34	1524.12	1489.12	1498.79	84430	0	26
2019.09.13	1498.57	1508.93	1485.65	1486.76	70666	0	26
2019.09.16	1500.59	1512.00	1495.81	1498.08	84015	0	26
2019.09.17	1498.80	1507.01	1493.37	1501.19	66914	0	26
2019.09.18	1501.31	1511.51	1482.92	1493.94	63619	0	26
2019.09.19	1493.79	1504.40	1488.83	1498.75	74934	0	26
2019.09.20	1499.01	1516.94	1497.80	1516.30	60775	0	26
2019.09.23	1513.04	1526.75	1511.35	1521.96	73712	0	26
2019.09.24	1522.06	1535.64	1515.51	1532.05	79172	0	26
